id,listing name,listing name (commas removed),seller,price,refurb,model,rating,size_rating,memory,color,free return,free shipping,style
1,"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue",Apple iPad 11-inch: A16 chip 11-inch Model Liquid Retina Display 128GB Wi-Fi 6 12MP Front/12MP Back Camera Touch ID All-Day Battery Life — Blue,amazon.com,299.99,0,,4.7,18839,128,blue,1,1,wifi
2,"Apple iPad, 10.2-Inch, Wi-Fi, 32GB, Space Gray (Renewed)",Apple iPad 10.2-Inch Wi-Fi 32GB Space Gray (Renewed),Kanga Supply,129.99,1,7th gen,4.2,15542,32,space gray,1,1,wifi
3,"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Yellow",Apple iPad 11-inch: A16 chip 11-inch Model Liquid Retina Display 128GB Wi-Fi 6 12MP Front/12MP Back Camera Touch ID All-Day Battery Life — Yellow,amazon.com,299.99,0,,4.7,18839,128,yellow,1,1,wifi
4,"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 256GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue",Apple iPad 11-inch: A16 chip 11-inch Model Liquid Retina Display 256GB Wi-Fi 6 12MP Front/12MP Back Camera Touch ID All-Day Battery Life — Blue,amazon.com,399,0,,4.7,18839,256,blue,1,1,wifi
6,"Apple iPad Air 11-inch with M3 chip Built for Apple Intelligence, Liquid Retina Display, 128GB, 12MP Front/Back Camera, Wi-Fi 6E, Touch ID, All-Day Battery Life — Space Gray",Apple iPad Air 11-inch with M3 chip Built for Apple Intelligence Liquid Retina Display 128GB 12MP Front/Back Camera Wi-Fi 6E Touch ID All-Day Battery Life — Space Gray,amazon.com,699,0,air,4.8,3912,128,blue,1,1,wifi cell
7,"Apple iPad Air 11-inch with M3 chip Built for Apple Intelligence, Liquid Retina Display, 1TB, 12MP Front/Back Camera, Wi-Fi 6E + 5G Cellular, Touch ID, All-Day Battery Life — Purple",Apple iPad Air 11-inch with M3 chip Built for Apple Intelligence Liquid Retina Display 1TB 12MP Front/Back Camera Wi-Fi 6E + 5G Cellular Touch ID All-Day Battery Life — Purple,amazon.com,1178,0,air,4.8,3912,1024,purple,1,1,wifi cell
8,"Apple iPad Air 11-inch with M3 chip Built for Apple Intelligence, Liquid Retina Display, 512GB, 12MP Front/Back Camera, Wi-Fi 6E + 5G Cellular, Touch ID, All-Day Battery Life — Starlight",Apple iPad Air 11-inch with M3 chip Built for Apple Intelligence Liquid Retina Display 512GB 12MP Front/Back Camera Wi-Fi 6E + 5G Cellular Touch ID All-Day Battery Life — Starlight,amazon.com,992,0,air,4.8,3912,512,starlight,1,1,wifi cell
9,"Apple iPad mini (A17 Pro): Apple Intelligence, 8.3-inch Liquid Retina Display, 128GB, Wi-Fi 6E, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue",Apple iPad mini (A17 Pro): Apple Intelligence 8.3-inch Liquid Retina Display 128GB Wi-Fi 6E 12MP Front/12MP Back Camera Touch ID All-Day Battery Life — Blue,amazon.com,399,0,mini a17 pro,4.7,2762,128,blue,1,1,wifi
10,"Apple Early 2022 iPad Air 5th Gen, 10.9-inch, Wi-Fi, 64GB, Space Gray (Renewed)",Apple Early 2022 iPad Air 5th Gen 10.9-inch Wi-Fi 64GB Space Gray (Renewed),MOBILESUPPLY,323,1,air,4.3,1430,64,space gray,1,1,wifi
12,"Apple iPad Early 2018 (9.7-inch, Wi-Fi, 32GB) - Space Gray (Renewed)",Apple iPad Early 2018 (9.7-inch Wi-Fi 32GB) - Space Gray (Renewed),PLATINUM DEALS,108,1,6th gen,4.4,12356,32,space gray,1,1,wifi
13,"Apple iPad 2021 (10.2-inch, Wi-Fi, 64GB) - Space Gray (Renewed)",Apple iPad 2021 (10.2-inch Wi-Fi 64GB) - Space Gray (Renewed),Milo Certified Electronics,195,1,9th gen,4.4,4719,64,space gray,1,1,wifi
14,"Apple iPad 2021 (10.2-inch, Wi-Fi, 64GB) - Silver (Renewed)",Apple iPad 2021 (10.2-inch Wi-Fi 64GB) - Silver (Renewed),Milo Certified Electronics,193,1,9th gen,4.4,4719,64,silver,1,1,wifi
15,"Apple 2019 iPad 7th Gen (10.2-inch, Wi-Fi, 32GB) Silver (Renewed)",Apple 2019 iPad 7th Gen (10.2-inch Wi-Fi 32GB) Silver (Renewed),Discount Tech Direct,112.99,1,7th gen,4.2,15568,32,silver,1,1,wifi
