duration,start_station,end_station,plan_duration,st_year,st_month,st_day,st_hour,st_minute,end_year,end_month,end_day,end_hour,end_minute,bike_electric,pass_daypass,pass_indego30,pass_indego365,pass_walkup,trip_oneway,day_of_week,is_weekend,st_hr_sin,st_hr_cos,st_day_sin,st_day_cos,st_yr_sin,st_yr_cos,in_deg_start,out_deg_start,betweenness_start,closeness_start,pagerank_start,in_deg_end,out_deg_end,betweenness_end,closeness_end,pagerank_end,st_name,st_lat,st_lon,end_name,end_lat,end_lon,dist_km,avg_wind,precip,snow,snow_ground,max_temp,min_temp
16,3018,3056,30,2021,8,12,15,17,2021,8,12,15,33,0,0,1,0,0,1,3,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15,0.1518987341772152,0.10126582278481013,0.010596330246996707,0.44999276081740713,0.00897629747098617,0.060126582278481014,0.04430379746835443,0.004200146837181442,0.40145126766800754,0.003257656638048307,12th & Filbert,39.95273,-75.15979,Broad & Oxford,39.97669,-75.15813,2.6679839306515354,8.05,0.0,0.0,0.0,96,75
9,3201,3102,1,2025,5,14,16,24,2025,5,14,16,33,1,0,0,0,1,1,2,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992,0.09177215189873418,0.09177215189873418,0.0068672962290204954,0.4135068612916714,0.0048875196042543565,0.1518987341772152,0.14873417721518986,0.025872229403671062,0.44707072990300833,0.008917551887409319,16th & Arch,39.95523,-75.1662,"Pennsylvania & Fairmount, Perelman Building",39.96759,-75.17952,1.7826007035679636,10.51,1.3,0.0,0.0,66,59
12,3238,3064,365,2021,9,2,19,59,2021,9,2,20,11,1,0,0,1,0,1,3,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392,0.10759493670886076,0.08227848101265822,0.006100420954244622,0.42045125132863076,0.0062554507281361695,0.12658227848101267,0.10759493670886076,0.00896141155833347,0.4399290249524811,0.006946987723129253,Aramingo & Cumberland,39.97674,-75.11995,"18th & Washington, Chew Playground",39.9384,-75.17327,6.231265380921291,12.97,0.0,0.0,0.0,78,63
12,3025,3373,30,2026,3,14,10,6,2026,3,14,10,18,1,0,1,0,0,1,5,1,0.4999999999999999,-0.8660254037844387,0.4338837391175584,-0.9009688679024188,-0.8660254037844386,0.5000000000000001,0.08860759493670886,0.056962025316455694,0.002862110568106427,0.4153779330622219,0.004148550317826583,0.04746835443037974,0.02531645569620253,0.004832960299213704,0.37985595809690087,0.003436649794981913,11th & Washington,39.93724,-75.1612,11th & Wood,39.95817,-75.15668,2.3589901125540385,12.53,0.0,0.0,0.0,57,36
74,3212,3057,30,2021,4,18,16,52,2021,4,18,18,6,0,0,1,0,0,1,6,1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992,0.09177215189873418,0.0981012658227848,0.022236535419573204,0.41288691097489233,0.007914357202121329,0.14240506329113925,0.1518987341772152,0.024906231969889718,0.44418640261331155,0.010796786482702155,Schuylkill Banks Pergola,39.96383,-75.18177,Philadelphia Museum of Art,39.96439,-75.17987,0.1734876650923022,5.59,0.0,0.0,0.0,65,49
5,3255,3007,30,2025,1,15,9,17,2025,1,15,9,22,1,0,1,0,0,1,2,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563141,-1.0,-1.8369701987210292e-16,0.0981012658227848,0.12658227848101267,0.01408273845209232,0.42565003032496623,0.005108164608261738,0.15822784810126583,0.1550632911392405,0.020120458705491343,0.4551992886285176,0.009989177586886774,Broad & Chestnut,39.95095,-75.16438,"11th & Pine, Kahn Park",39.94517,-75.15993,0.7463048600859394,14.09,0.0,0.0,0.0,34,22
93,3273,3187,1,2022,11,20,9,50,2022,11,20,11,23,0,1,0,0,0,1,6,1,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563141,-1.0,-1.8369701987210292e-16,0.015822784810126583,0.015822784810126583,0.00019373116600593574,0.34041479557509663,0.001179737993205136,0.056962025316455694,0.05063291139240506,0.0019030542246925271,0.4008669135665985,0.0030596875965684476,,,,20th & Race,39.95725,-75.17232,,15.43,0.0,0.0,0.0,38,27
12,3034,3016,365,2023,4,18,6,41,2023,4,18,6,53,1,0,0,1,0,1,1,0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,0.11708860759493671,0.10443037974683544,0.015138058024280046,0.4323321344117004,0.006676700414379995,0.015822784810126583,0.02531645569620253,0.0038130690915317727,0.34904381447433863,0.0010995560339266187,11th & Reed,39.93315,-75.16248,"11th & Poplar, John F. Street Community Center",39.96892,-75.1547,4.032350831012704,14.54,0.0,0.0,0.0,63,45
9,3430,3061,30,2025,10,23,15,44,2025,10,23,15,53,1,0,1,0,0,1,3,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15,0.006329113924050633,0.012658227848101266,0.00016034498765611434,0.3043044968179593,0.0008113340298665232,0.14556962025316456,0.14873417721518986,0.017704778507158594,0.44707072990300833,0.008628831811203252,27th & Girard,39.97408,-75.1801,,,,,12.08,0.0,0.0,0.0,63,49
9,3052,3032,365,2024,11,11,17,3,2024,11,11,17,12,1,0,0,1,0,1,0,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388,0.14556962025316456,0.17721518987341772,0.014709583744220257,0.4463461420101347,0.00891641927471889,0.16772151898734178,0.1550632911392405,0.012214966557181977,0.457467723621683,0.009400800842337884,9th & Locust,39.94732,-75.15695,23rd & South,39.94527,-75.17971,1.9535711358615184,11.63,0.15,0.0,0.0,74,54
7,3168,3162,30,2024,8,13,17,22,2024,8,13,17,29,1,0,1,0,0,1,1,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388,0.12658227848101267,0.12658227848101267,0.016198351672116956,0.44418640261331155,0.006556714645478426,0.07911392405063292,0.06962025316455696,0.003515600069832235,0.4092058983956213,0.00447627851407366,,,,27th & South,39.94595,-75.18475,,7.16,0.0,0.0,0.0,83,63
31,3322,3156,30,2024,6,14,19,20,2024,6,14,19,51,0,0,1,0,0,1,4,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392,0.03481012658227848,0.05379746835443038,0.00250507126547811,0.36573116815438667,0.002609869880418434,0.11392405063291139,0.09177215189873418,0.0090522041523103,0.4449039896934623,0.005990414180533822,7th & Passyunk,39.93638,-75.15526,20th & Market,39.95381,-75.17407,2.5154803005671784,8.5,0.02,0.0,0.0,90,69
8,3033,3054,30,2021,8,12,19,28,2021,8,12,19,36,1,0,1,0,0,1,3,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392,0.10443037974683544,0.0981012658227848,0.012071652398896146,0.428297930980176,0.005195913900073412,0.18037974683544303,0.15822784810126583,0.0316247012050513,0.473188263952325,0.009770751501475819,10th & Chestnut,39.95005,-75.15672,Rodin Museum,39.9625,-75.1742,2.0337927130846722,8.05,0.0,0.0,0.0,96,75
5,3006,3074,30,2021,8,30,11,43,2021,8,30,11,48,0,0,1,0,0,1,0,0,0.258819045102521,-0.9659258262890682,-0.4338837391175562,-0.90096886790242,-0.5000000000000004,0.8660254037844384,0.08227848101265822,0.0981012658227848,0.0072638567195225535,0.3991240139423959,0.0052304939925045,0.09493670886075949,0.060126582278481014,0.006825603957319746,0.4135068612916714,0.005601009388552699,40th & Spruce,39.9522,-75.20311,44th & Walnut,39.95511,-75.20987,0.660847354723397,6.04,0.0,0.0,0.0,90,73
7,3300,3010,365,2025,9,10,18,33,2025,9,10,18,40,0,0,0,1,0,1,2,0,-1.0,-1.8369701987210292e-16,-0.4338837391175575,-0.9009688679024194,3.6739403974420594e-16,-1.0,0.028481012658227847,0.03164556962025317,0.0015228667491459806,0.3581216770094319,0.001945482904897029,0.1930379746835443,0.20569620253164556,0.02909026878757735,0.4748199476211261,0.012977790839083578,Broad & Cherry,39.95511,-75.16287,15th & Spruce,39.94711,-75.16618,0.9332329173347838,9.17,0.0,0.0,0.0,72,65
24,3068,3168,30,2022,2,18,18,21,2022,2,18,18,45,0,0,1,0,0,1,4,0,-1.0,-1.8369701987210292e-16,-0.4338837391175575,-0.9009688679024194,3.6739403974420594e-16,-1.0,0.09493670886075949,0.10759493670886076,0.008895864822137955,0.4043987806464804,0.005115871513637508,0.12658227848101267,0.12658227848101267,0.016198351672116956,0.44418640261331155,0.006556714645478426,Broad & Federal,39.93549,-75.16711,,,,,18.57,0.37,0.0,0.0,66,31
