id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_name,created_at,updated_at,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,scientific_name,common_name
123813,758fe387-4304-4aa9-ad41-60529ee61582,2012-09-14,2012-09-14,,Pacific Time (US & Canada),Zack Abbey,2012-09-16 23:43:46 UTC,2023-08-28 15:08:45 UTC,34.116601177,-119.0788498521,,,false,Procyon lotor,Common Raccoon
337384,972b851c-2b95-4713-9965-1b05c382bd2c,2009-08-07,2009-08-07,,Pacific Time (US & Canada),Jess,2013-07-18 20:15:29 UTC,2018-10-29 06:45:26 UTC,34.292766,-118.930064,,,false,Procyon lotor,Common Raccoon
338509,48937d76-86a9-4dd2-8b6e-6a484143f71b,2011-06-03 15:03:41,2011-06-03,2011-06-03 20:03:41 UTC,Central Time (US & Canada),Jonah Evans,2013-07-19 21:07:25 UTC,2018-06-10 14:01:39 UTC,34.688036,-119.358856,,,false,Procyon lotor,Common Raccoon
576046,149a2207-0c30-4d8e-80d2-65cbf195eba9,2004-08-01,2004-08-01,,Pacific Time (US & Canada),Bruce Freeman,2014-03-20 08:37:41 UTC,2019-02-14 00:52:48 UTC,34.1612950169,-118.6329934592,,,true,Procyon lotor,Common Raccoon
1170732,475f381e-4da3-4e7f-8457-455c0038efbb,2015-01-16,2015-01-16,,Central Time (US & Canada),"",2015-01-10 20:29:38 UTC,2025-01-03 08:45:59 UTC,34.44643,-119.245739,,,false,Procyon lotor,Common Raccoon
1845383,53f78636-ab27-4411-b6cf-7eb4832de4d7,Sat Aug 08 2015 15:23:59 GMT-0700 (PDT),2015-08-08,2015-08-08 22:23:59 UTC,Pacific Time (US & Canada),William Schlegel,2015-08-09 00:42:53 UTC,2018-11-04 23:07:39 UTC,34.362931,-118.998494,,,false,Procyon lotor,Common Raccoon
2587842,e182a41a-f37a-49e2-a639-6158f094315b,Sat Jan 16 2016 08:46:09 GMT-0800 (PST),2016-01-16,2016-01-16 16:46:09 UTC,Pacific Time (US & Canada),"",2016-01-17 03:24:23 UTC,2025-12-10 05:35:40 UTC,34.4699854698,-119.2238988203,,,false,Procyon lotor,Common Raccoon
2587876,b896ca82-a95b-4148-abbd-6b74bb45ae71,Sat Jan 16 2016 09:42:43 GMT-0800 (PST),2016-01-16,2016-01-16 17:42:43 UTC,Pacific Time (US & Canada),"",2016-01-17 03:42:25 UTC,2021-06-14 23:57:18 UTC,34.4723455624,-119.2345678882,,,false,Procyon lotor,Common Raccoon
2803308,ff1aa031-0e90-48cb-8807-57f1df26ce44,Sat Mar 19 2016 10:24:45 GMT-0700 (PDT),2016-03-19,2016-03-19 17:24:45 UTC,Pacific Time (US & Canada),"",2016-03-19 17:25:22 UTC,2021-06-14 23:58:07 UTC,34.4249490649,-119.3029425481,,,false,Procyon lotor,Common Raccoon
2803379,03187fa4-5c72-4d04-a09a-4ac46bdc5d4f,Sat Mar 19 2016 10:33:24 GMT-0700 (PDT),2016-03-19,2016-03-19 17:33:24 UTC,Pacific Time (US & Canada),"",2016-03-19 17:34:04 UTC,2021-06-14 23:58:07 UTC,34.4253838342,-119.3028650155,,,false,Procyon lotor,Common Raccoon
2912696,3385c92c-691b-4691-a948-79751898bcd0,Sun Apr 10 2016 13:16:33 GMT-0700 (PDT),2016-04-10,2016-04-10 20:16:33 UTC,Pacific Time (US & Canada),"",2016-04-10 20:16:58 UTC,2025-01-03 08:44:12 UTC,34.425236648,-119.3028899097,,,false,Procyon lotor,Common Raccoon
