station_id,start_date,time_period,departures,arrivals,net_change,latitude,longitude,total_docks
3300,2023-06-16,7am-7pm,5.0,5.0,0.0,39.95511,-75.16287,13.0
3169,2024-06-12,7pm-7am,5.0,1.0,-4.0,39.95382,-75.14263,17.0
3339,2023-07-16,7am-7pm,0.0,3.0,3.0,,,
3188,2024-10-31,7am-7pm,2.0,4.0,2.0,39.90471,-75.1734,56.0
3245,2023-11-13,7am-7pm,9.0,11.0,2.0,39.97887,-75.15777,20.0
3068,2025-08-30,7am-7pm,17.0,17.0,0.0,39.93549,-75.16711,18.0
3294,2023-10-01,7am-7pm,14.0,24.0,10.0,39.95174,-75.17063,21.0
3397,2025-07-07,7am-7pm,20.0,10.0,-10.0,39.93906,-75.17824,15.0
3074,2025-07-12,7pm-7am,2.0,5.0,3.0,39.95511,-75.20987,15.0
3261,2023-08-20,7pm-7am,3.0,12.0,9.0,39.96304,-75.14099,17.0
3350,2024-08-20,7am-7pm,1.0,2.0,1.0,39.99415,-75.15527,20.0
3392,2024-11-10,7pm-7am,0.0,1.0,1.0,39.93633,-75.19447,13.0
3065,2024-06-13,7pm-7am,0.0,3.0,3.0,39.9707,-75.15171,15.0
3035,2024-11-26,7am-7pm,5.0,5.0,0.0,39.96271,-75.19419,20.0
3182,2026-03-15,7pm-7am,9.0,0.0,-9.0,,,
3427,2026-03-07,7pm-7am,2.0,1.0,-1.0,39.97961,-75.11844,14.0
3201,2023-11-02,7am-7pm,16.0,13.0,-3.0,39.95523,-75.1662,20.0
3065,2026-03-27,7am-7pm,5.0,2.0,-3.0,39.9707,-75.15171,15.0
3292,2023-06-19,7pm-7am,0.0,1.0,1.0,39.92,-75.1562,17.0
3254,2024-07-20,7am-7pm,8.0,7.0,-1.0,39.98091,-75.16065,18.0
3376,2025-01-13,7am-7pm,1.0,2.0,1.0,39.97183,-75.14878,8.0
3112,2023-05-06,7pm-7am,2.0,1.0,-1.0,39.95373,-75.21825,18.0
3249,2024-09-29,7pm-7am,10.0,6.0,-4.0,39.95784,-75.19079,22.0
3028,2024-02-02,7am-7pm,16.0,22.0,6.0,39.94061,-75.14958,15.0
3333,2024-07-15,7pm-7am,4.0,5.0,1.0,39.9541,-75.16965,25.0
3159,2025-10-07,7pm-7am,1.0,2.0,1.0,39.95121,-75.19962,23.0
3339,2023-09-17,7am-7pm,8.0,12.0,4.0,,,
3155,2025-12-31,7pm-7am,0.0,1.0,1.0,39.94018,-75.15442,18.0
3246,2024-04-21,7pm-7am,1.0,3.0,2.0,39.94782,-75.22301,17.0
3263,2023-01-04,7pm-7am,1.0,1.0,0.0,39.9586,-75.2081,18.0
3373,2024-03-25,7pm-7am,4.0,4.0,0.0,39.95817,-75.15668,15.0
3182,2024-02-23,7pm-7am,2.0,5.0,3.0,,,
3285,2025-04-05,7am-7pm,5.0,7.0,2.0,39.95946,-75.14745,19.0
3344,2026-03-19,7am-7pm,4.0,3.0,-1.0,39.95961,-75.23354,23.0
3327,2023-10-21,7am-7pm,2.0,2.0,0.0,39.97759,-75.12442,17.0
3155,2026-01-28,7pm-7am,1.0,0.0,-1.0,39.94018,-75.15442,18.0
3353,2025-10-31,7pm-7am,1.0,1.0,0.0,40.00496,-75.15233,22.0
3394,2025-08-19,7pm-7am,3.0,1.0,-2.0,39.924,-75.16959,14.0
3372,2025-11-02,7am-7pm,4.0,3.0,-1.0,39.92528,-75.18672,15.0
3187,2025-06-07,7pm-7am,3.0,1.0,-2.0,39.95725,-75.17232,19.0
3207,2024-10-08,7am-7pm,28.0,28.0,0.0,39.95441,-75.192,20.0
3256,2024-12-04,7pm-7am,5.0,2.0,-3.0,39.95269,-75.17779,23.0
3250,2024-12-01,7am-7pm,0.0,1.0,1.0,39.95673,-75.14575,17.0
3026,2024-03-26,7pm-7am,6.0,4.0,-2.0,39.94182,-75.1455,17.0
3201,2024-11-09,7pm-7am,1.0,1.0,0.0,39.95523,-75.1662,20.0
3285,2024-03-04,7pm-7am,0.0,1.0,1.0,39.95946,-75.14745,19.0
3028,2024-01-13,7pm-7am,6.0,5.0,-1.0,39.94061,-75.14958,15.0
3201,2023-09-25,7am-7pm,11.0,14.0,3.0,39.95523,-75.1662,20.0
3236,2025-06-02,7am-7pm,9.0,7.0,-2.0,39.96566,-75.17765,18.0
3314,2025-03-06,7pm-7am,2.0,2.0,0.0,39.93682,-75.14492,17.0
3205,2024-08-12,7am-7pm,20.0,22.0,2.0,39.95405,-75.16783,22.0
3255,2023-11-05,7am-7pm,19.0,19.0,0.0,39.95095,-75.16438,15.0
3120,2025-06-30,7pm-7am,4.0,1.0,-3.0,39.97522,-75.18669,19.0
3375,2025-01-27,7pm-7am,1.0,2.0,1.0,39.96036,-75.1402,22.0
3072,2025-01-12,7pm-7am,1.0,1.0,0.0,39.93445,-75.14541,25.0
