station_id,start_date,departures,arrivals,latitude,longitude,total_docks,net_change
3315,2025-06-03,0.0,2.0,39.94235,-75.21138,13.0,2.0
3169,2024-05-01,29.0,23.0,39.95382,-75.14263,17.0,-6.0
3314,2023-11-23,3.0,3.0,39.93682,-75.14492,17.0,0.0
3066,2025-11-27,7.0,11.0,39.94561,-75.17348,29.0,4.0
3304,2024-02-13,6.0,14.0,39.94234,-75.15399,21.0,8.0
3161,2023-03-27,17.0,27.0,39.95486,-75.18091,23.0,10.0
3235,2024-06-11,22.0,28.0,39.96,-75.1651,15.0,6.0
3271,2023-09-12,2.0,2.0,39.9476,-75.22946,18.0,0.0
3007,2024-04-03,16.0,15.0,39.94517,-75.15993,20.0,-1.0
3014,2025-12-20,4.0,3.0,39.95886,-75.17369,25.0,-1.0
3272,2023-11-02,1.0,1.0,39.96405,-75.22048,13.0,0.0
3051,2024-05-05,13.0,11.0,39.96744,-75.17507,37.0,-2.0
3394,2026-03-05,10.0,7.0,39.924,-75.16959,14.0,-3.0
3347,2023-10-18,13.0,9.0,,,,-4.0
3373,2025-03-18,14.0,10.0,39.95817,-75.15668,15.0,-4.0
3308,2023-10-22,10.0,9.0,,,,-1.0
3226,2024-07-31,3.0,5.0,39.98101,-75.13721,18.0,2.0
3305,2024-09-09,2.0,2.0,39.99569,-75.1671,11.0,0.0
3255,2023-09-13,20.0,22.0,39.95095,-75.16438,15.0,2.0
3117,2023-02-28,1.0,0.0,39.97841,-75.22399,14.0,-1.0
3253,2025-03-08,7.0,1.0,39.93074,-75.18924,21.0,-6.0
3351,2025-09-22,1.0,2.0,39.99655,-75.14991,18.0,1.0
3264,2023-11-23,11.0,9.0,39.94571,-75.15508,23.0,-2.0
3319,2025-12-20,5.0,4.0,39.96672,-75.12964,16.0,-1.0
3346,2025-12-11,20.0,20.0,39.94883,-75.15097,17.0,0.0
3343,2023-12-30,8.0,6.0,,,,-2.0
3125,2025-10-31,32.0,33.0,39.94391,-75.16735,16.0,1.0
3063,2023-06-08,37.0,30.0,39.94633,-75.1698,25.0,-7.0
3203,2023-07-28,31.0,26.0,39.94077,-75.17227,20.0,-5.0
3025,2024-12-27,15.0,15.0,39.93724,-75.1612,15.0,0.0
3101,2023-09-21,39.0,40.0,39.94295,-75.15955,18.0,1.0
