id,name,latitude,longitude,total_docks,street_address
3004,Municipal Services Building Plaza,39.95371,-75.16423,23,1401 John F. Kennedy Blvd.
3005,"Welcome Park, NPS",39.94733,-75.14403,13,191 S. 2nd St.
3006,40th & Spruce,39.9522,-75.20311,17,246 S. 40th St.
3007,"11th & Pine, Kahn Park",39.94517,-75.15993,20,328 S. 11th St.
3008,Temple University Station,39.98081,-75.15067,17,1076 Berks Street
3009,33rd & Market,39.95576,-75.18982,14,3318 Market St.
3010,15th & Spruce,39.94711,-75.16618,22,1483 Spruce St.
3012,21st & Catharine,39.94218,-75.17747,27,807 S. 21st St.
3014,"21st & Winter, Franklin Institute",39.95886,-75.17369,25,2090 Winter St.
3015,"4th & Walnut, NPS",39.94735,-75.14886,11,422 Walnut St.
3016,"11th & Poplar, John F. Street Community Center",39.96892,-75.1547,15,1100 Poplar St.
3017,6th & Berks,39.98003,-75.14371,15,527 W. Berks St.
3018,12th & Filbert,39.95273,-75.15979,18,1200 Filbert St.
3019,6th & Race,39.95403,-75.14983,15,160 N. 6th St.
3020,University City Station,39.94855,-75.19007,36,3051 South St.
3021,18th & JFK,39.9539,-75.16902,34,1750 John F. Kennedy Blvd.
3022,Amtrak 30th Street Station,39.95472,-75.18323,21,2933 Market Street
3024,"43rd & Chester, Clark Park",39.94822,-75.20908,19,598 S. 43rd St.
3025,11th & Washington,39.93724,-75.1612,15,1084 Washington Ave.
3026,2nd & Lombard,39.94182,-75.1455,17,509 S 2nd St.
3028,4th & Bainbridge,39.94061,-75.14958,15,404 Bainbridge St.
3029,36th & Sansom,39.9538,-75.19479,17,125 S. 36th St.
3031,13th & Montgomery,39.98005,-75.15522,21,1284 W. Montgomery Ave.
3032,23rd & South,39.94527,-75.17971,20,671 S. 23rd St.
3033,10th & Chestnut,39.95005,-75.15672,20,921 Chestnut St.
3034,11th & Reed,39.93315,-75.16248,16,1300 S. 11th Street
3035,Dornsife Center,39.96271,-75.19419,20,3599 Spring Garden
3037,Pennsylvania Convention Center,39.95424,-75.16138,21,1321 Arch St.
3038,The Children's Hospital of Philadelphia (CHOP),39.94781,-75.19409,28,3499 Civic Center Blvd.
3039,Broad & Girard,39.97157,-75.15993,17,922 N. Broad St.
3040,17th & Spring Garden,39.96289,-75.16606,21,1684 Spring Garden St.
3041,"Girard Station, MFL",39.96849,-75.13546,26,1176 Leopard Ave.
3047,"Independence Mall, NPS",39.95073,-75.14947,20,519 Market St.
3049,Foglietta Plaza,39.94509,-75.1425,29,3 Dock St.
