duration,start_station,end_station,plan_duration,st_year,st_month,st_day,st_hour,st_minute,end_year,end_month,end_day,end_hour,end_minute,bike_electric,pass_daypass,pass_indego30,pass_indego365,pass_walkup,trip_oneway,day_of_week,is_weekend,st_hr_sin,st_hr_cos,st_day_sin,st_day_cos,st_yr_sin,st_yr_cos
16,3018,3056,30,2021,8,12,15,17,2021,8,12,15,33,0,0,1,0,0,1,3,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15
9,3201,3102,1,2025,5,14,16,24,2025,5,14,16,33,1,0,0,0,1,1,2,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
12,3238,3064,365,2021,9,2,19,59,2021,9,2,20,11,1,0,0,1,0,1,3,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392
12,3025,3373,30,2026,3,14,10,6,2026,3,14,10,18,1,0,1,0,0,1,5,1,0.4999999999999999,-0.8660254037844387,0.4338837391175584,-0.9009688679024188,-0.8660254037844386,0.5000000000000001
74,3212,3057,30,2021,4,18,16,52,2021,4,18,18,6,0,0,1,0,0,1,6,1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
5,3255,3007,30,2025,1,15,9,17,2025,1,15,9,22,1,0,1,0,0,1,2,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563141,-1.0,-1.8369701987210294e-16
93,3273,3187,1,2022,11,20,9,50,2022,11,20,11,23,0,1,0,0,0,1,6,1,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563141,-1.0,-1.8369701987210294e-16
12,3034,3016,365,2023,4,18,6,41,2023,4,18,6,53,1,0,0,1,0,1,1,0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0
9,3430,3061,30,2025,10,23,15,44,2025,10,23,15,53,1,0,1,0,0,1,3,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15
9,3052,3032,365,2024,11,11,17,3,2024,11,11,17,12,1,0,0,1,0,1,0,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388
7,3168,3162,30,2024,8,13,17,22,2024,8,13,17,29,1,0,1,0,0,1,1,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388
31,3322,3156,30,2024,6,14,19,20,2024,6,14,19,51,0,0,1,0,0,1,4,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392
8,3033,3054,30,2021,8,12,19,28,2021,8,12,19,36,1,0,1,0,0,1,3,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392
5,3006,3074,30,2021,8,30,11,43,2021,8,30,11,48,0,0,1,0,0,1,0,0,0.258819045102521,-0.9659258262890682,-0.4338837391175562,-0.90096886790242,-0.5000000000000004,0.8660254037844384
7,3300,3010,365,2025,9,10,18,33,2025,9,10,18,40,0,0,0,1,0,1,2,0,-1.0,-1.8369701987210294e-16,-0.4338837391175575,-0.9009688679024194,3.673940397442059e-16,-1.0
24,3068,3168,30,2022,2,18,18,21,2022,2,18,18,45,0,0,1,0,0,1,4,0,-1.0,-1.8369701987210294e-16,-0.4338837391175575,-0.9009688679024194,3.673940397442059e-16,-1.0
7,3007,3169,365,2025,3,31,16,26,2025,3,31,16,33,1,0,0,1,0,1,0,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
3,3296,3363,365,2026,2,20,15,15,2026,2,20,15,18,1,0,0,1,0,1,4,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680284,0.6234898018587354,1.0,1.1943401194869637e-15
5,3207,3035,30,2024,6,7,13,4,2024,6,7,13,9,1,0,1,0,0,1,4,0,-0.2588190451025208,-0.9659258262890684,-0.781831482468029,0.6234898018587346,0.5,0.8660254037844386
13,3124,3025,30,2022,8,7,5,43,2022,8,7,5,56,1,0,1,0,0,1,6,1,0.9659258262890684,0.2588190451025207,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,-0.8660254037844387
14,3026,3202,365,2021,9,11,7,7,2021,9,11,7,21,0,0,0,1,0,1,5,1,0.9659258262890684,-0.2588190451025206,-2.4492935982947064e-16,1.0,-0.4999999999999997,-0.8660254037844388
11,3004,3055,1,2021,12,30,14,16,2021,12,30,14,27,0,1,0,0,0,1,3,0,-0.4999999999999997,-0.8660254037844388,-4.898587196589413e-16,1.0,0.8660254037844384,0.5000000000000004
7,3255,3066,365,2025,10,2,17,4,2025,10,2,17,11,1,0,0,1,0,1,3,0,-0.9659258262890684,-0.2588190451025206,0.433883739117557,-0.9009688679024196,0.4999999999999998,-0.8660254037844388
16,3185,3041,30,2025,8,25,19,14,2025,8,25,19,30,1,0,1,0,0,1,0,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392
18,3255,3209,30,2022,10,26,16,58,2022,10,26,17,16,1,0,1,0,0,1,2,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563138,0.8660254037844392,-0.4999999999999992
6,3046,3028,365,2021,10,15,14,10,2021,10,15,14,16,0,0,0,1,0,1,4,0,-0.4999999999999997,-0.8660254037844388,-4.898587196589413e-16,1.0,0.8660254037844384,0.5000000000000004
6,3061,3009,30,2020,4,2,19,13,2020,4,2,19,19,0,0,1,0,0,1,3,0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.222520933956315,-0.4999999999999991,-0.8660254037844392
12,3259,3201,30,2026,2,20,14,6,2026,2,20,14,18,1,0,1,0,0,1,4,0,-0.4999999999999997,-0.8660254037844388,-4.898587196589413e-16,1.0,0.8660254037844384,0.5000000000000004
