date,avg_wind,precip,snow,snow_ground,max_temp,min_temp
2020-01-01,9.17,0.0,0.0,0.0,42,29
2020-01-02,4.03,0.0,0.0,0.0,47,27
2020-01-03,4.47,0.21,0.0,0.0,49,43
2020-01-04,7.16,0.15,0.0,0.0,54,42
2020-01-05,16.33,0.0,0.0,0.0,42,35
2020-01-06,9.62,0.0,0.0,0.0,51,35
2020-01-07,6.71,0.13,0.0,0.0,46,32
2020-01-08,16.33,0.0,0.0,0.0,41,30
2020-01-09,6.49,0.0,0.0,0.0,34,23
2020-01-10,4.92,0.0,0.0,0.0,55,28
2020-01-11,10.07,0.0,0.0,0.0,67,46
2020-01-12,16.11,0.2,0.0,0.0,67,43
2020-01-13,4.92,0.0,0.0,0.0,48,38
2020-01-14,3.58,0.03,0.0,0.0,46,37
2020-01-15,6.04,0.0,0.0,0.0,54,38
2020-01-16,17.67,0.0,0.0,0.0,51,35
2020-01-17,15.88,0.0,0.0,0.0,35,23
2020-01-18,9.17,0.25,0.2,0.0,39,22
2020-01-19,14.32,0.03,0.0,0.0,42,27
2020-01-20,13.42,0.0,0.0,0.0,33,23
2020-01-21,9.62,0.0,0.0,0.0,35,19
2020-01-22,2.91,0.0,0.0,0.0,39,23
2020-01-23,1.34,0.0,0.0,0.0,45,24
2020-01-24,6.93,0.0,0.0,0.0,57,28
2020-01-25,12.53,1.6,0.0,0.0,52,36
2020-01-26,10.29,0.0,0.0,0.0,47,34
2020-01-27,12.08,0.0,0.0,0.0,46,32
2020-01-28,12.53,0.0,0.0,0.0,42,38
2020-01-29,11.41,0.0,0.0,0.0,45,30
2020-01-30,6.93,0.0,0.0,0.0,39,25
2020-01-31,2.91,0.04,0.0,0.0,47,28
2020-02-01,3.58,0.05,0.0,0.0,44,35
2020-02-02,8.5,0.0,0.0,0.0,43,34
2020-02-03,6.71,0.0,0.0,0.0,61,33
2020-02-04,4.92,0.1,0.0,0.0,64,43
2020-02-05,9.4,0.05,0.0,0.0,56,36
2020-02-06,4.47,0.47,0.0,0.0,47,36
2020-02-07,17.9,0.23,0.0,0.0,60,35
2020-02-08,10.51,0.0,0.0,0.0,45,30
2020-02-09,6.04,0.0,0.0,0.0,48,29
2020-02-10,11.18,0.26,0.0,0.0,46,42
2020-02-11,6.26,0.43,0.0,0.0,51,45
2020-02-12,7.38,0.06,0.0,0.0,47,37
2020-02-13,7.16,0.22,0.0,0.0,48,36
2020-02-14,14.32,0.0,0.0,0.0,41,20
2020-02-15,6.93,0.0,0.0,0.0,32,14
2020-02-16,6.26,0.0,0.0,0.0,49,29
2020-02-17,5.14,0.0,0.0,0.0,53,36
2020-02-18,7.38,0.0,0.0,0.0,61,35
2020-02-19,12.3,0.0,0.0,0.0,53,36
2020-02-20,8.72,0.0,0.0,0.0,38,29
2020-02-21,9.62,0.0,0.0,0.0,36,21
2020-02-22,11.41,0.0,0.0,0.0,51,24
2020-02-23,6.26,0.0,0.0,0.0,56,28
2020-02-24,3.58,0.0,0.0,0.0,60,30
2020-02-25,4.7,0.17,0.0,0.0,50,44
2020-02-26,7.16,0.21,0.0,0.0,52,45
2020-02-27,23.26,0.21,0.0,0.0,48,32
2020-02-28,15.88,0.0,0.0,0.0,42,29
2020-02-29,13.42,0.0,0.0,0.0,35,27
2020-03-01,11.18,0.0,0.0,0.0,45,25
2020-03-02,9.84,0.04,0.0,0.0,63,30
2020-03-03,7.16,0.12,0.0,0.0,60,41
2020-03-04,14.54,0.0,0.0,0.0,59,43
2020-03-05,8.28,0.0,0.0,0.0,53,38
2020-03-06,9.17,0.35,0.0,0.0,45,33
2020-03-07,15.43,0.0,0.0,0.0,47,35
2020-03-08,9.62,0.0,0.0,0.0,60,30
2020-03-09,10.07,0.0,0.0,0.0,71,39
2020-03-10,12.75,0.0,0.0,0.0,68,48
2020-03-11,6.71,0.0,0.0,0.0,59,43
2020-03-12,6.93,0.0,0.0,0.0,60,40
2020-03-13,13.2,0.37,0.0,0.0,74,49
2020-03-14,11.41,0.0,0.0,0.0,58,43
2020-03-15,6.04,0.01,0.0,0.0,55,40
2020-03-16,11.18,0.0,0.0,0.0,52,36
2020-03-17,6.93,0.03,0.0,0.0,57,41
2020-03-18,7.38,0.08,0.0,0.0,59,40
2020-03-19,5.82,0.93,0.0,0.0,56,43
2020-03-20,10.51,0.0,0.0,0.0,79,49
2020-03-21,11.41,0.0,0.0,0.0,67,41
2020-03-22,12.75,0.0,0.0,0.0,47,35
2020-03-23,12.3,0.8,0.0,0.0,45,38
2020-03-24,6.71,0.0,0.0,0.0,58,39
2020-03-25,13.2,0.01,0.0,0.0,49,41
2020-03-26,7.61,0.0,0.0,0.0,59,35
2020-03-27,6.71,0.0,0.0,0.0,69,49
2020-03-28,8.95,1.14,0.0,0.0,54,47
2020-03-29,8.5,0.0,0.0,0.0,53,47
2020-03-30,4.92,0.06,0.0,0.0,60,45
2020-03-31,8.95,0.0,0.0,0.0,48,41
2020-04-01,12.75,0.0,0.0,0.0,56,40
2020-04-02,19.69,0.0,0.0,0.0,58,40
2020-04-03,18.79,0.0,0.0,0.0,58,48
2020-04-04,7.61,0.0,0.0,0.0,57,48
2020-04-05,7.61,0.0,0.0,0.0,67,43
2020-04-06,8.72,0.0,0.0,0.0,66,49
2020-04-07,6.26,0.0,0.0,0.0,66,44
2020-04-08,9.84,0.27,0.0,0.0,75,48
2020-04-09,14.32,0.05,0.0,0.0,67,45
2020-04-10,23.04,0.0,0.0,0.0,50,40
2020-04-11,12.08,0.0,0.0,0.0,57,36
2020-04-12,8.72,0.07,0.0,0.0,69,39
2020-04-13,17.45,1.62,0.0,0.0,72,53
2020-04-14,9.62,0.0,0.0,0.0,58,45
2020-04-15,11.18,0.03,0.0,0.0,52,40
2020-04-16,13.2,0.0,0.0,0.0,50,40
2020-04-17,6.93,0.0,0.0,0.0,53,34
2020-04-18,9.84,0.06,0.0,0.0,49,37
2020-04-19,10.96,0.0,0.0,0.0,62,35
2020-04-20,8.05,0.0,0.0,0.0,58,46
2020-04-21,14.09,0.1,0.0,0.0,64,41
2020-04-22,15.66,0.0,0.0,0.0,54,35
2020-04-23,7.38,0.46,0.0,0.0,59,41
2020-04-24,9.17,0.59,0.0,0.0,51,45
2020-04-25,4.92,0.02,0.0,0.0,68,43
2020-04-26,10.51,0.13,0.0,0.0,51,45
2020-04-27,13.2,0.01,0.0,0.0,55,42
2020-04-28,8.95,0.0,0.0,0.0,64,42
2020-04-29,12.75,0.0,0.0,0.0,68,50
2020-04-30,14.99,0.34,0.0,0.0,69,57
2020-05-01,7.61,0.01,0.0,0.0,68,57
2020-05-02,10.51,0.0,0.0,0.0,73,51
2020-05-03,9.4,0.15,0.0,0.0,79,55
2020-05-04,14.32,0.01,0.0,0.0,74,51
2020-05-05,6.93,0.0,0.0,0.0,60,46
2020-05-06,7.61,0.09,0.0,0.0,54,45
2020-05-07,10.96,0.0,0.0,0.0,66,45
2020-05-08,9.4,0.32,0.0,0.0,58,38
2020-05-09,18.79,0.0,0.0,0.0,49,35
2020-05-10,14.09,0.0,0.0,0.0,64,39
2020-05-11,14.32,0.06,0.0,0.0,62,47
2020-05-12,13.42,0.0,0.0,0.0,61,42
2020-05-13,7.38,0.0,0.0,0.0,66,41
2020-05-14,7.61,0.0,0.0,0.0,74,44
2020-05-15,13.2,0.06,0.0,0.0,85,62
2020-05-16,7.38,0.0,0.0,0.0,79,60
2020-05-17,8.72,0.0,0.0,0.0,71,54
2020-05-18,11.41,0.0,0.0,0.0,69,53
2020-05-19,17.0,0.0,0.0,0.0,68,52
2020-05-20,14.09,0.0,0.0,0.0,63,45
2020-05-21,7.61,0.0,0.0,0.0,75,45
2020-05-22,6.04,0.38,0.0,0.0,71,54
2020-05-23,7.38,1.05,0.0,0.0,76,57
2020-05-24,9.62,0.0,0.0,0.0,71,52
2020-05-25,5.37,0.0,0.0,0.0,76,57
2020-05-26,4.25,0.0,0.0,0.0,82,59
2020-05-27,3.8,0.0,0.0,0.0,83,61
2020-05-28,8.5,0.07,0.0,0.0,80,67
2020-05-29,10.51,0.0,0.0,0.0,85,71
2020-05-30,9.17,0.0,0.0,0.0,82,69
2020-05-31,12.3,0.0,0.0,0.0,72,57
2020-06-01,9.62,0.0,0.0,0.0,73,51
2020-06-02,8.95,0.0,0.0,0.0,73,58
